relationship_id,person_a_id,person_a_name,person_b_id,person_b_name,phone_call_count,phone_call_dates,phone_call_durations_sec,total_call_duration_sec,transaction_count,transaction_dates,transaction_amounts,total_transaction_amount,meeting_count,meeting_dates,meeting_locations,relationship_label,ground_truth_confidence,relationship_type,relationship_description
REL00140,P0184,Raj Yadav,P0068,Ravi Bansal,31,2025-03-29; 2024-12-16; 2025-10-15; 2025-12-04; 2025-07-05; 2026-04-22; 2024-07-06; 2024-07-17; 2026-03-08; 2024-04-21; 2026-02-20; 2024-08-25; 2024-08-06; 2024-11-10; 2025-05-28; 2024-11-08; 2024-11-23; 2026-02-23; 2025-06-27; 2025-04-28; 2024-04-15; 2025-12-02; 2024-11-03; 2026-08-07; 2025-09-16; 2024-08-03; 2025-08-07; 2025-11-19; 2024-06-07; 2024-11-27; 2024-06-09,906; 3259; 1742; 3338; 823; 766; 2619; 2833; 763; 1453; 2235; 2060; 2796; 2558; 3350; 1827; 3313; 3095; 1223; 1056; 1196; 2053; 3537; 1363; 1638; 713; 1374; 1486; 3096; 1569; 3516,63556,4,2026-02-02; 2024-11-18; 2025-04-05; 2024-11-11,121489; 157662; 113164; 209935,602250.0,8,2025-03-03; 2024-01-06; 2026-02-19; 2026-08-20; 2025-02-17; 2024-02-26; 2025-02-22; 2024-12-28,Gurugram; Chandigarh; Faridabad; Delhi; Ghaziabad; Ghaziabad; Faridabad; Faridabad,1,0.9415,Known Associate,Relationship evidence between Raj Yadav and Ravi Bansal. Phone records show 31 calls. Transaction records show 4 transactions. Meeting records show 8 meetings.
REL00141,P0025,Vikram Yadav,P0330,Raj Yadav 44360,30,2025-09-24; 2025-05-30; 2025-03-26; 2026-05-26; 2024-10-07; 2024-04-19; 2024-03-17; 2024-09-05; 2024-06-13; 2024-11-29; 2026-01-10; 2025-05-06; 2026-08-22; 2026-01-08; 2025-08-30; 2025-04-26; 2026-08-27; 2024-02-17; 2026-03-10; 2025-11-06; 2025-02-03; 2025-12-05; 2026-07-19; 2025-12-24; 2025-05-13; 2024-09-12; 2024-10-13; 2025-09-13; 2025-08-23; 2025-01-19,181; 267; 174; 1369; 761; 625; 1161; 816; 957; 642; 287; 1026; 335; 1595; 211; 724; 1647; 1560; 907; 1748; 370; 368; 1267; 672; 1235; 469; 1210; 240; 957; 562,24343,7,2024-12-01; 2025-08-09; 2025-07-13; 2026-02-20; 2025-11-07; 2024-09-23; 2025-07-24,71602; 40196; 4864; 20411; 10913; 43151; 49347,240484.0,3,2026-07-15; 2026-03-02; 2025-04-01,Ghaziabad; Gurugram; Meerut,0,0.3639,Business Contact,"Observed interaction between Vikram Yadav and Raj Yadav 44360. Available records include 30 calls, 7 transactions, and 3 meetings. Evidence does not establish a meaningful relationship."
REL00142,P0472,Rahul Gupta 14684,P0371,Sneha Patel,4,2024-09-18; 2025-09-10; 2026-02-04; 2026-08-13,43; 163; 142; 677,1025,2,2025-02-24; 2025-03-13,13486; 16436,29922.0,2,2026-03-28; 2024-02-19,Lucknow; Delhi,1,0.7239,Business Contact,Relationship evidence between Rahul Gupta 14684 and Sneha Patel. Phone records show 4 calls. Transaction records show 2 transactions. Meeting records show 2 meetings.
REL00143,P0525,Divya Bansal 82134,P0383,Riya Yadav 14586,4,2025-05-31; 2026-06-13; 2026-03-28; 2024-11-30,829; 571; 523; 309,2232,1,2025-08-11,11436,11436.0,0,,,0,0.2257,Associate,"Observed interaction between Divya Bansal 82134 and Riya Yadav 14586. Available records include 4 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00144,P0078,Rohan Yadav,P0579,Yash Singh,22,2026-05-16; 2026-05-21; 2024-03-30; 2025-08-10; 2026-08-02; 2025-04-24; 2025-09-16; 2025-10-27; 2024-07-14; 2026-02-08; 2024-03-15; 2026-02-24; 2025-12-01; 2025-03-17; 2026-04-17; 2024-10-10; 2025-04-21; 2025-04-07; 2026-06-29; 2026-06-20; 2026-01-26; 2024-06-04,1392; 736; 209; 432; 1386; 1238; 755; 989; 1140; 1659; 1478; 1574; 1739; 945; 103; 882; 1237; 661; 73; 1337; 1756; 858,22579,2,2024-01-20; 2024-01-09,31521; 44255,75776.0,5,2025-03-13; 2024-06-03; 2024-09-22; 2026-05-26; 2024-08-16,Agra; Meerut; Lucknow; Chandigarh; Ghaziabad,0,0.4695,Acquaintance,"Observed interaction between Rohan Yadav and Yash Singh. Available records include 22 calls, 2 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00145,P0589,Vikram Sharma 51362,P0364,Priya Pandey 64238,8,2024-07-30; 2024-11-11; 2024-07-04; 2024-04-13; 2024-01-27; 2025-06-30; 2025-09-08; 2026-08-25,1789; 140; 1656; 320; 1166; 773; 201; 730,6775,1,2026-06-10,43331,43331.0,2,2026-08-08; 2024-08-23,Ghaziabad; Ghaziabad,1,0.65,Acquaintance,Relationship evidence between Vikram Sharma 51362 and Priya Pandey 64238. Phone records show 8 calls. Transaction records show 1 transactions. Meeting records show 2 meetings.
REL00146,P0435,Sahil Kumar 80714,P0278,Karan Verma 13929,4,2024-05-20; 2026-06-17; 2026-07-09; 2026-08-25,470; 146; 874; 404,1894,1,2024-01-27,15047,15047.0,0,,,1,0.7103,Colleague,Relationship evidence between Sahil Kumar 80714 and Karan Verma 13929. Phone records show 4 calls. Transaction records show 1 transactions. Meeting records show 0 meetings.
REL00147,P0214,Aditya Singh,P0390,Vikram Verma,8,2024-07-22; 2024-07-29; 2026-02-28; 2025-01-24; 2025-08-27; 2026-04-14; 2024-05-07; 2024-04-05,199; 538; 612; 761; 548; 144; 186; 794,3782,1,2024-08-02,4443,4443.0,3,2026-08-21; 2025-05-15; 2026-01-28,Agra; Meerut; Meerut,1,0.5745,Associate,Relationship evidence between Aditya Singh and Vikram Verma. Phone records show 8 calls. Transaction records show 1 transactions. Meeting records show 3 meetings.
REL00148,P0216,Manish Malhotra,P0093,Rahul Gupta 92105,6,2025-06-04; 2024-04-24; 2026-08-25; 2025-04-12; 2024-01-17; 2024-01-08,409; 842; 450; 429; 898; 122,3150,1,2024-12-29,12309,12309.0,2,2026-08-26; 2024-11-13,Noida; Jaipur,1,0.7338,Former Partner,Relationship evidence between Manish Malhotra and Rahul Gupta 92105. Phone records show 6 calls. Transaction records show 1 transactions. Meeting records show 2 meetings.
REL00149,P0308,Sneha Khanna,P0235,Neha Sharma,7,2026-01-17; 2025-10-24; 2026-07-07; 2024-11-27; 2024-02-16; 2024-05-24; 2026-05-17,569; 423; 1216; 78; 322; 1122; 378,4108,7,2024-05-23; 2025-12-12; 2025-04-26; 2026-02-19; 2024-02-09; 2024-03-03; 2025-09-02,29502; 40415; 50719; 56378; 22641; 56950; 24599,281204.0,4,2024-06-27; 2026-08-16; 2025-06-15; 2024-06-04,Gurugram; Meerut; Noida; Gurugram,0,0.2105,Colleague,"Observed interaction between Sneha Khanna and Neha Sharma. Available records include 7 calls, 7 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
REL00150,P0209,Deepak Singh,P0314,Nikhil Sharma 66477,15,2024-11-24; 2024-01-30; 2026-03-13; 2024-01-27; 2024-12-05; 2024-01-30; 2026-06-29; 2025-04-26; 2024-02-05; 2026-01-22; 2026-06-11; 2024-05-27; 2026-07-24; 2025-02-21; 2024-02-17,1164; 832; 1621; 1285; 1539; 1135; 407; 383; 265; 90; 774; 516; 248; 919; 195,11373,2,2024-04-25; 2025-05-02,62874; 56404,119278.0,5,2026-05-26; 2026-07-08; 2025-07-03; 2025-03-26; 2024-05-17,Agra; Delhi; Faridabad; Chandigarh; Chandigarh,1,0.8469,Known Associate,Relationship evidence between Deepak Singh and Nikhil Sharma 66477. Phone records show 15 calls. Transaction records show 2 transactions. Meeting records show 5 meetings.
REL00151,P0264,Nikhil Patel 45707,P0132,Anjali Kumar,15,2025-05-04; 2025-05-19; 2026-02-05; 2026-05-01; 2026-05-22; 2025-08-07; 2024-07-19; 2024-05-08; 2024-08-12; 2025-06-11; 2024-05-12; 2026-04-04; 2026-08-22; 2024-05-26; 2024-08-18,1410; 228; 1582; 254; 1528; 887; 638; 1319; 275; 571; 523; 573; 438; 1555; 1410,13191,4,2024-11-04; 2024-12-02; 2025-12-28; 2025-04-18,70146; 69751; 36960; 19263,196120.0,1,2024-12-01,Jaipur,1,0.6737,Business Contact,Relationship evidence between Nikhil Patel 45707 and Anjali Kumar. Phone records show 15 calls. Transaction records show 4 transactions. Meeting records show 1 meetings.
REL00152,P0149,Arjun Chauhan,P0594,Arjun Khan,1,2025-10-09,69,69,2,2026-03-24; 2024-07-21,6469; 969,7438.0,3,2024-05-26; 2025-10-11; 2024-02-04,Ghaziabad; Gurugram; Jaipur,1,0.5468,Acquaintance,Relationship evidence between Arjun Chauhan and Arjun Khan. Phone records show 1 calls. Transaction records show 2 transactions. Meeting records show 3 meetings.
REL00153,P0586,Manish Gupta 74594,P0493,Arjun Khanna 33163,6,2025-10-05; 2026-06-09; 2026-04-16; 2025-08-14; 2025-02-19; 2025-04-07,239; 484; 656; 289; 578; 470,2716,1,2024-04-30,24910,24910.0,0,,,0,0.105,Known Associate,"Observed interaction between Manish Gupta 74594 and Arjun Khanna 33163. Available records include 6 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00154,P0527,Deepak Malhotra 27081,P0346,Aman Khan,9,2026-04-06; 2026-06-11; 2025-05-14; 2026-03-01; 2025-07-16; 2025-04-12; 2025-11-10; 2024-04-08; 2025-11-15,761; 1623; 1123; 598; 189; 1661; 808; 933; 1375,9071,2,2024-01-27; 2025-07-10,18544; 14397,32941.0,3,2024-08-20; 2025-04-13; 2026-04-29,Noida; Noida; Lucknow,1,0.7852,Business Contact,Relationship evidence between Deepak Malhotra 27081 and Aman Khan. Phone records show 9 calls. Transaction records show 2 transactions. Meeting records show 3 meetings.
REL00155,P0130,Rohan Khanna 72261,P0356,Deepak Singh 8974,8,2026-06-06; 2025-05-31; 2024-07-05; 2025-02-11; 2026-04-19; 2026-08-21; 2026-06-25; 2025-06-07,219; 165; 880; 716; 247; 814; 37; 223,3301,1,2026-01-21,24898,24898.0,0,,,1,0.5562,Business Contact,Relationship evidence between Rohan Khanna 72261 and Deepak Singh 8974. Phone records show 8 calls. Transaction records show 1 transactions. Meeting records show 0 meetings.
REL00156,P0156,Nisha Agarwal 87045,P0577,Raj Verma 35297,21,2024-08-23; 2025-12-11; 2026-08-27; 2025-06-27; 2024-06-19; 2025-01-18; 2024-06-11; 2024-04-12; 2025-11-27; 2024-06-18; 2025-10-12; 2025-10-11; 2026-05-29; 2025-09-25; 2024-08-19; 2026-05-13; 2026-08-10; 2026-02-08; 2026-01-03; 2024-06-04; 2025-07-07,2617; 1856; 948; 1260; 320; 1761; 1334; 1716; 2257; 1845; 2071; 2036; 1438; 677; 3075; 1348; 121; 426; 1149; 3021; 2396,33672,1,2025-11-15,91685,91685.0,5,2024-08-01; 2026-08-03; 2026-01-21; 2025-09-19; 2025-08-31,Noida; Delhi; Jaipur; Gurugram; Gurugram,0,0.3683,Acquaintance,"Observed interaction between Nisha Agarwal 87045 and Raj Verma 35297. Available records include 21 calls, 1 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00157,P0165,Divya Chauhan 55995,P0249,Aarav Patel 11486,6,2025-03-05; 2025-02-04; 2025-08-28; 2024-07-17; 2024-09-11; 2026-05-04,378; 92; 251; 302; 163; 431,1617,0,,,0.0,2,2024-05-06; 2026-01-13,Agra; Gurugram,0,0.08,Known Associate,"Observed interaction between Divya Chauhan 55995 and Aarav Patel 11486. Available records include 6 calls, 0 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00158,P0146,Riya Singh 90472,P0283,Yash Bansal 88919,0,,,0,2,2025-06-17; 2024-11-14,17678; 3862,21540.0,0,,,0,0.2724,Business Contact,"Observed interaction between Riya Singh 90472 and Yash Bansal 88919. Available records include 0 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00159,P0483,Nisha Patel 11594,P0238,Aman Khanna,3,2025-07-08; 2026-01-30; 2025-09-16,485; 177; 92,754,1,2026-06-20,24093,24093.0,0,,,0,0.1261,Acquaintance,"Observed interaction between Nisha Patel 11594 and Aman Khanna. Available records include 3 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00160,P0279,Abhishek Singh,P0042,Manish Mehta,6,2025-10-03; 2025-04-22; 2025-03-12; 2025-08-22; 2024-06-21; 2026-06-16,746; 728; 833; 518; 796; 318,3939,1,2024-08-18,17632,17632.0,0,,,0,0.045,Known Associate,"Observed interaction between Abhishek Singh and Manish Mehta. Available records include 6 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00161,P0372,Vikram Malhotra 48723,P0248,Priya Pandey,43,2024-02-28; 2025-10-15; 2024-04-17; 2026-06-04; 2026-02-27; 2024-10-13; 2026-05-12; 2026-01-11; 2026-01-20; 2024-10-09; 2026-07-15; 2024-09-14; 2025-10-17; 2025-06-04; 2024-12-02; 2025-03-05; 2025-11-13; 2026-05-06; 2024-09-14; 2024-12-31; 2024-03-26; 2024-01-14; 2024-04-13; 2025-12-31; 2026-04-05; 2025-05-12; 2024-09-05; 2025-08-22; 2025-05-21; 2024-08-14; 2025-08-28; 2025-03-20; 2025-11-12; 2024-09-29; 2024-04-16; 2026-03-10; 2026-04-26; 2025-12-26; 2025-05-14; 2025-07-28; 2025-09-13; 2026-05-07; 2025-08-02,1659; 2604; 2245; 2854; 1687; 292; 2584; 561; 2538; 3553; 3370; 2752; 523; 2477; 508; 601; 3249; 1097; 1597; 2496; 2875; 3025; 2593; 1847; 3459; 1732; 3062; 3168; 283; 1542; 2770; 3348; 1923; 2007; 2468; 2261; 272; 1753; 3450; 3418; 2692; 3169; 3305,95669,9,2025-03-18; 2025-11-16; 2026-07-18; 2024-01-27; 2024-08-09; 2025-08-03; 2024-07-04; 2024-01-25; 2025-10-07,96235; 35900; 86618; 118041; 220212; 17438; 201118; 129701; 232672,1137935.0,5,2026-07-01; 2024-09-16; 2025-01-02; 2026-04-18; 2025-11-30,Meerut; Meerut; Ghaziabad; Faridabad; Chandigarh,1,0.9303,Acquaintance,Relationship evidence between Vikram Malhotra 48723 and Priya Pandey. Phone records show 43 calls. Transaction records show 9 transactions. Meeting records show 5 meetings.
REL00162,P0333,Aarav Kumar,P0470,Vikram Khan 35044,5,2024-08-02; 2025-07-25; 2026-02-28; 2026-06-03; 2025-07-14,683; 349; 778; 430; 791,3031,1,2024-12-22,6137,6137.0,0,,,0,0.2972,Acquaintance,"Observed interaction between Aarav Kumar and Vikram Khan 35044. Available records include 5 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00163,P0092,Manish Verma 45891,P0342,Manish Gupta,24,2026-07-25; 2026-01-09; 2024-04-02; 2025-10-16; 2025-02-19; 2024-11-16; 2025-09-28; 2025-05-24; 2025-10-16; 2024-07-09; 2026-02-13; 2025-01-26; 2024-07-26; 2024-09-28; 2026-05-26; 2025-12-25; 2025-05-12; 2024-12-25; 2024-12-11; 2026-04-05; 2025-03-24; 2026-07-06; 2025-01-05; 2026-02-11,772; 810; 1442; 185; 576; 897; 2503; 1391; 2193; 2988; 2750; 2415; 1333; 3219; 2413; 2324; 848; 1750; 2653; 2969; 431; 933; 502; 490,38787,4,2025-12-29; 2025-09-04; 2026-07-25; 2026-06-16,183851; 116073; 233401; 79040,612365.0,3,2024-05-29; 2026-01-03; 2024-12-14,Lucknow; Meerut; Jaipur,0,0.2466,Business Contact,"Observed interaction between Manish Verma 45891 and Manish Gupta. Available records include 24 calls, 4 transactions, and 3 meetings. Evidence does not establish a meaningful relationship."
REL00164,P0395,Akash Malhotra 5560,P0107,Rohan Khanna,6,2025-08-06; 2024-03-25; 2024-11-27; 2024-08-18; 2025-03-29; 2026-04-25,61; 271; 581; 178; 703; 300,2094,1,2024-01-27,16703,16703.0,2,2024-08-17; 2026-05-03,Ghaziabad; Ghaziabad,0,0.3075,Acquaintance,"Observed interaction between Akash Malhotra 5560 and Rohan Khanna. Available records include 6 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00165,P0451,Shreya Bansal 30538,P0222,Shreya Agarwal,0,,,0,1,2024-01-22,20561,20561.0,0,,,0,0.1743,Colleague,"Observed interaction between Shreya Bansal 30538 and Shreya Agarwal. Available records include 0 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00166,P0450,Priya Malhotra 58892,P0425,Nikhil Bansal 98958,22,2025-08-17; 2025-02-13; 2025-10-04; 2025-08-12; 2026-06-28; 2026-07-12; 2025-01-31; 2026-02-03; 2024-09-24; 2025-12-24; 2026-03-26; 2025-01-07; 2026-04-02; 2026-03-31; 2024-09-26; 2025-03-17; 2025-01-14; 2025-01-08; 2026-07-10; 2026-08-05; 2026-08-17; 2024-08-28,715; 1166; 791; 217; 1479; 335; 718; 1754; 1498; 565; 1689; 1162; 1245; 323; 257; 1666; 1099; 1510; 1034; 1156; 702; 274,21355,4,2026-04-06; 2026-04-26; 2025-09-10; 2024-08-21,47657; 74623; 31355; 62986,216621.0,4,2024-10-02; 2025-08-11; 2026-05-06; 2024-02-24,Chandigarh; Agra; Chandigarh; Chandigarh,0,0.4069,Acquaintance,"Observed interaction between Priya Malhotra 58892 and Nikhil Bansal 98958. Available records include 22 calls, 4 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
REL00167,P0067,Anjali Chauhan,P0176,Aditya Khan,4,2025-10-27; 2024-02-28; 2026-07-06; 2024-12-21,508; 743; 171; 85,1507,1,2025-11-29,12113,12113.0,2,2024-03-07; 2026-01-06,Faridabad; Agra,0,0.0957,Associate,"Observed interaction between Anjali Chauhan and Aditya Khan. Available records include 4 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00168,P0029,Vikram Gupta,P0503,Priya Sharma 4142,5,2024-08-08; 2025-11-08; 2025-04-07; 2024-11-13; 2025-07-05,733; 710; 331; 358; 258,2390,0,,,0.0,1,2025-08-06,Lucknow,0,0.3317,Known Associate,"Observed interaction between Vikram Gupta and Priya Sharma 4142. Available records include 5 calls, 0 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00169,P0148,Riya Gupta 17993,P0553,Aman Chauhan 20789,23,2026-02-11; 2025-01-01; 2025-08-24; 2024-05-02; 2026-03-04; 2024-03-13; 2025-09-20; 2024-03-06; 2025-06-26; 2025-02-27; 2026-01-17; 2024-06-14; 2026-01-20; 2024-07-18; 2024-09-11; 2025-09-07; 2026-03-03; 2026-02-16; 2024-07-02; 2026-05-05; 2024-07-04; 2024-01-31; 2025-10-26,1073; 1552; 304; 739; 242; 252; 886; 1235; 1495; 1463; 853; 1708; 894; 840; 1486; 1031; 343; 1795; 763; 434; 256; 697; 787,21128,6,2024-06-30; 2025-12-25; 2025-03-16; 2026-06-19; 2024-09-15; 2025-05-26,13892; 26191; 36144; 54615; 28293; 31706,190841.0,1,2024-12-25,Noida,0,0.3189,Acquaintance,"Observed interaction between Riya Gupta 17993 and Aman Chauhan 20789. Available records include 23 calls, 6 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00170,P0097,Nisha Gupta,P0537,Vikram Pandey 96249,5,2025-01-17; 2024-04-07; 2024-06-21; 2024-01-02; 2025-06-25,85; 69; 729; 847; 687,2417,1,2024-01-29,51130,51130.0,5,2026-05-29; 2024-03-12; 2024-06-25; 2024-07-12; 2025-10-13,Agra; Chandigarh; Gurugram; Lucknow; Ghaziabad,0,0.5415,Acquaintance,"Observed interaction between Nisha Gupta and Vikram Pandey 96249. Available records include 5 calls, 1 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00171,P0100,Aditya Patel 40669,P0159,Aditya Sharma,2,2026-07-01; 2025-03-27,743; 886,1629,2,2026-06-19; 2026-03-01,6316; 17124,23440.0,0,,,0,0.0606,Former Partner,"Observed interaction between Aditya Patel 40669 and Aditya Sharma. Available records include 2 calls, 2 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00172,P0456,Divya Gupta 68563,P0032,Deepak Khan,6,2024-12-23; 2025-11-30; 2024-07-03; 2025-08-27; 2025-06-14; 2024-06-20,528; 2158; 911; 2591; 755; 2631,9574,2,2026-07-31; 2024-12-11,129188; 182618,311806.0,3,2025-07-15; 2026-05-01; 2025-02-02,Chandigarh; Noida; Lucknow,0,0.2229,Business Contact,"Observed interaction between Divya Gupta 68563 and Deepak Khan. Available records include 6 calls, 2 transactions, and 3 meetings. Evidence does not establish a meaningful relationship."
REL00173,P0253,Yash Bansal 88806,P0375,Ravi Singh 33587,4,2026-03-24; 2025-02-17; 2024-02-12; 2025-01-01,80; 511; 850; 883,2324,1,2026-07-20,22115,22115.0,1,2025-12-25,Agra,1,0.4796,Colleague,Relationship evidence between Yash Bansal 88806 and Ravi Singh 33587. Phone records show 4 calls. Transaction records show 1 transactions. Meeting records show 1 meetings.
REL00174,P0533,Vivaan Singh 24005,P0094,Raj Patel,14,2025-08-11; 2025-12-20; 2025-06-28; 2025-06-18; 2025-02-07; 2026-02-14; 2025-07-13; 2025-10-20; 2024-07-24; 2024-10-16; 2024-11-24; 2024-05-18; 2025-04-03; 2026-02-20,465; 659; 1342; 933; 887; 951; 832; 228; 1064; 108; 1066; 273; 718; 1209,10735,4,2025-05-10; 2025-09-16; 2025-02-02; 2024-11-09,67223; 39643; 9224; 71147,187237.0,5,2026-05-01; 2024-02-12; 2024-07-11; 2026-08-27; 2024-04-01,Faridabad; Agra; Agra; Lucknow; Gurugram,1,0.7615,Acquaintance,Relationship evidence between Vivaan Singh 24005 and Raj Patel. Phone records show 14 calls. Transaction records show 4 transactions. Meeting records show 5 meetings.
REL00175,P0050,Nisha Singh,P0548,Vikram Sharma,0,,,0,1,2024-07-11,12026,12026.0,1,2025-07-04,Delhi,0,0.2901,Associate,"Observed interaction between Nisha Singh and Vikram Sharma. Available records include 0 calls, 1 transactions, and 1 meetings. Evidence does not establish a meaningful relationship."
REL00176,P0445,Divya Verma 57879,P0521,Deepak Yadav,10,2024-04-11; 2025-04-13; 2026-08-30; 2024-07-09; 2026-07-02; 2024-08-14; 2025-12-30; 2024-11-23; 2024-03-15; 2026-01-01,476; 1074; 483; 1229; 1371; 1315; 91; 152; 841; 481,7513,6,2026-07-10; 2025-12-06; 2024-04-29; 2026-08-04; 2024-10-24; 2024-01-05,33508; 45352; 25207; 53107; 31933; 50730,239837.0,6,2026-07-28; 2026-05-07; 2025-02-15; 2024-02-15; 2024-06-08; 2024-05-25,Agra; Ghaziabad; Agra; Faridabad; Jaipur; Agra,0,0.4486,Business Contact,"Observed interaction between Divya Verma 57879 and Deepak Yadav. Available records include 10 calls, 6 transactions, and 6 meetings. Evidence does not establish a meaningful relationship."
REL00177,P0318,Saurabh Gupta,P0210,Karan Pandey,28,2026-04-23; 2025-02-27; 2025-01-21; 2024-10-11; 2026-05-12; 2026-07-11; 2024-07-13; 2026-04-16; 2026-03-08; 2025-05-14; 2024-09-16; 2025-09-06; 2024-01-11; 2025-10-03; 2025-12-10; 2025-02-08; 2024-02-12; 2025-12-13; 2026-02-24; 2025-04-04; 2024-05-11; 2025-11-09; 2025-12-07; 2024-08-16; 2024-03-13; 2025-10-14; 2024-04-27; 2024-04-28,385; 1680; 1060; 196; 435; 1159; 730; 402; 1575; 585; 1454; 1524; 1483; 875; 643; 1158; 646; 643; 1227; 595; 282; 1618; 304; 868; 1745; 473; 237; 1196,25178,5,2026-05-16; 2025-05-24; 2024-07-24; 2024-05-10; 2025-06-14,6678; 63467; 64759; 16331; 16602,167837.0,4,2024-08-22; 2024-02-08; 2026-05-03; 2025-02-01,Gurugram; Noida; Noida; Ghaziabad,0,0.3526,Colleague,"Observed interaction between Saurabh Gupta and Karan Pandey. Available records include 28 calls, 5 transactions, and 4 meetings. Evidence does not establish a meaningful relationship."
REL00178,P0380,Neha Patel,P0449,Aditya Khanna 82942,1,2026-02-26,62,62,1,2025-11-09,17002,17002.0,2,2026-02-24; 2024-07-12,Ghaziabad; Meerut,0,0.0249,Acquaintance,"Observed interaction between Neha Patel and Aditya Khanna 82942. Available records include 1 calls, 1 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00179,P0015,Neha Singh,P0157,Amit Bansal,6,2024-12-24; 2025-04-18; 2024-07-24; 2026-07-12; 2025-10-21; 2024-02-27,420; 409; 176; 318; 537; 85,1945,1,2024-08-18,6528,6528.0,0,,,0,0.2233,Business Contact,"Observed interaction between Neha Singh and Amit Bansal. Available records include 6 calls, 1 transactions, and 0 meetings. Evidence does not establish a meaningful relationship."
REL00180,P0344,Priya Patel,P0450,Priya Malhotra 58892,8,2025-09-08; 2025-06-25; 2024-10-21; 2025-07-24; 2024-06-13; 2024-05-26; 2025-07-14; 2024-11-21,78; 134; 721; 86; 439; 550; 567; 37,2612,0,,,0.0,1,2025-09-25,Gurugram,1,0.6672,Associate,Relationship evidence between Priya Patel and Priya Malhotra 58892. Phone records show 8 calls. Transaction records show 0 transactions. Meeting records show 1 meetings.
REL00181,P0330,Raj Yadav 44360,P0380,Neha Patel,1,2024-08-27,26,26,0,,,0.0,2,2025-01-25; 2024-01-04,Agra; Delhi,0,0.2867,Associate,"Observed interaction between Raj Yadav 44360 and Neha Patel. Available records include 1 calls, 0 transactions, and 2 meetings. Evidence does not establish a meaningful relationship."
REL00182,P0581,Aditya Patel 91545,P0123,Akash Sharma,29,2025-10-26; 2026-04-23; 2026-07-21; 2025-05-02; 2026-08-17; 2025-08-08; 2025-10-22; 2025-01-30; 2024-10-16; 2025-12-03; 2025-09-22; 2025-01-31; 2025-04-05; 2026-07-21; 2026-02-05; 2024-08-31; 2025-11-30; 2025-05-17; 2025-09-19; 2024-09-13; 2024-12-19; 2025-10-13; 2025-04-10; 2025-05-05; 2026-07-30; 2026-07-09; 2024-06-05; 2025-04-10; 2025-07-03,797; 518; 355; 647; 1364; 1557; 417; 855; 586; 388; 813; 1575; 102; 944; 1709; 674; 354; 147; 1001; 900; 1515; 1168; 524; 883; 316; 1780; 1343; 782; 486,24500,1,2026-08-22,55188,55188.0,5,2025-03-07; 2026-06-23; 2025-03-03; 2025-04-16; 2026-01-21,Chandigarh; Chandigarh; Jaipur; Chandigarh; Meerut,0,0.3182,Business Contact,"Observed interaction between Aditya Patel 91545 and Akash Sharma. Available records include 29 calls, 1 transactions, and 5 meetings. Evidence does not establish a meaningful relationship."
REL00183,P0409,Saurabh Khan,P0137,Ravi Singh,20,2024-08-10; 2025-12-30; 2024-07-14; 2025-08-05; 2024-07-18; 2026-08-28; 2026-06-13; 2026-01-16; 2025-11-06; 2026-03-13; 2025-09-25; 2025-01-07; 2026-07-10; 2025-04-19; 2025-07-15; 2026-06-02; 2026-02-21; 2026-03-22; 2025-02-22; 2025-01-18,1378; 688; 497; 864; 349; 1023; 282; 1171; 1395; 986; 675; 1765; 1646; 1337; 904; 164; 468; 504; 751; 1189,18036,1,2026-06-30,22541,22541.0,2,2025-11-06; 2025-01-28,Lucknow; Jaipur,1,0.6095,Acquaintance,Relationship evidence between Saurabh Khan and Ravi Singh. Phone records show 20 calls. Transaction records show 1 transactions. Meeting records show 2 meetings.
